Year of Car,Make of car,Model,Price of car,Location of car,Kilometers,Diesel/Petrol,Body-type,Owner
2014,Honda,CITY VX CVT PETROL,6.5 Lakhs,Delhi,"69,630 Kms",Petrol,Sedan,2nd Owner
2011,Maruti Suzuki,ZEN ESTILO LXI BS IV,2.37 Lakhs,Noida,"48,000 Kms",Petrol,Hatchback,1st Owner
2011,Toyota,ETIOS LIVA G,2.99 Lakhs,Noida,"65,000 Kms",Petrol,Hatchback,1st Owner
2011,Ford,FIGO EXI DURATEC 1.2,2.35 Lakhs,Noida,"80,349 Kms",Petrol,Hatchback,1st Owner
2011,Honda,ACCORD 2.4 AT,4.75 Lakhs,Delhi,"80,453 Kms",Petrol,Sedan,2nd Owner
2010,Honda,ACCORD 2.4 MT,3.95 Lakhs,Delhi,"72,000 Kms",Petrol,Sedan,1st Owner
2016,Hyundai,CRETA 1.6 CRDI SX PL...,8.5 Lakhs,Delhi,"80,000 Kms",Diesel,CompactSUV,1st Owner
2009,Maruti Suzuki,SWIFT DZIRE VXI,2.25 Lakhs,Gurgaon,1.32 Lakhs Kms,Petrol  CNG Kit,Sedan,1st Owner
2019,Maruti Suzuki,BALENO ZETA AT 1.2,7.5 Lakhs,Faridabad,"23,346 Kms",Petrol,Hatchback,1st Owner
2017,Toyota,INNOVA CRYSTA 2.8 GX...,13.55 Lakhs,Gurgaon,1.19 Lakhs Kms,Diesel,MPV,1st Owner
